date,team_a,team_b,score,sidefeature1,sidefeature2
2020-01-09,1610612760,1610612745,205.0,0.6940000000000001,0.568
2020-01-08,1610612738,1610612759,243.0,0.429,0.735
2020-01-08,1610612766,1610612761,222.0,0.649,0.385
2020-01-08,1610612754,1610612748,230.0,0.722,0.622
2020-01-08,1610612753,1610612764,212.0,0.33299999999999996,0.45899999999999996
2020-01-08,1610612737,1610612745,237.0,0.6859999999999999,0.21600000000000005
2020-01-08,1610612742,1610612743,213.0,0.6940000000000001,0.639
2020-01-08,1610612740,1610612741,231.0,0.35100000000000003,0.324
2020-01-08,1610612762,1610612752,232.0,0.27,0.667
2020-01-08,1610612744,1610612749,205.0,0.8420000000000001,0.237
2020-01-07,1610612739,1610612765,228.0,0.35100000000000003,0.278
2020-01-07,1610612761,1610612757,200.0,0.405,0.667
2020-01-07,1610612751,1610612760,214.0,0.556,0.457
2020-01-07,1610612763,1610612750,231.0,0.4,0.405
2020-01-07,1610612756,1610612758,217.0,0.37799999999999995,0.389
2020-01-07,1610612747,1610612752,204.0,0.278,0.8059999999999999
2020-01-06,1610612766,1610612754,219.0,0.611,0.395
2020-01-06,1610612753,1610612751,190.0,0.47100000000000003,0.444
2020-01-06,1610612755,1610612760,233.0,0.5710000000000001,0.622
2020-01-06,1610612764,1610612738,193.0,0.758,0.314
2020-01-06,1610612737,1610612743,238.0,0.6859999999999999,0.222
2020-01-06,1610612740,1610612762,254.0,0.657,0.33299999999999996
2020-01-06,1610612742,1610612741,228.0,0.361,0.629
2020-01-06,1610612759,1610612749,230.0,0.865,0.41200000000000003
2020-01-06,1610612758,1610612744,209.0,0.243,0.361
2020-01-05,1610612746,1610612752,267.0,0.28600000000000003,0.6759999999999999
2020-01-05,1610612748,1610612757,233.0,0.41700000000000004,0.7140000000000001
2020-01-05,1610612739,1610612750,221.0,0.382,0.28600000000000003
2020-01-05,1610612756,1610612763,235.0,0.389,0.4
2020-01-05,1610612747,1610612765,205.0,0.361,0.8
2020-01-04,1610612746,1610612763,254.0,0.371,0.6940000000000001
2020-01-04,1610612751,1610612761,223.0,0.657,0.485
2020-01-04,1610612753,1610612762,205.0,0.647,0.457
2020-01-04,1610612737,1610612754,227.0,0.629,0.2
2020-01-04,1610612739,1610612760,227.0,0.5589999999999999,0.294
2020-01-04,1610612764,1610612743,242.0,0.706,0.294
2020-01-04,1610612741,1610612738,215.0,0.75,0.371
2020-01-04,1610612742,1610612766,243.0,0.37799999999999995,0.647
2020-01-04,1610612749,1610612759,245.0,0.424,0.861
2020-01-04,1610612744,1610612765,215.0,0.34299999999999997,0.25
2020-01-04,1610612758,1610612740,232.0,0.314,0.371
2020-01-03,1610612738,1610612737,215.0,0.20600000000000002,0.742
2020-01-03,1610612753,1610612748,190.0,0.735,0.441
2020-01-03,1610612764,1610612757,225.0,0.4,0.303
2020-01-03,1610612745,1610612755,226.0,0.639,0.6759999999999999
2020-01-03,1610612756,1610612752,232.0,0.294,0.382
2020-01-03,1610612747,1610612740,236.0,0.324,0.794
2020-01-02,1610612739,1610612766,215.0,0.361,0.303
2020-01-02,1610612754,1610612743,240.0,0.6970000000000001,0.647
2020-01-02,1610612748,1610612761,160.0,0.6759999999999999,0.727
2020-01-02,1610612741,1610612762,200.0,0.636,0.382
2020-01-02,1610612750,1610612744,183.0,0.257,0.364
2020-01-02,1610612742,1610612751,234.0,0.5,0.636
2020-01-02,1610612759,1610612760,212.0,0.545,0.438
2020-01-02,1610612758,1610612763,251.0,0.382,0.353
2020-01-02,1610612746,1610612765,238.0,0.353,0.6859999999999999
2020-01-01,1610612764,1610612753,223.0,0.424,0.313
2020-01-01,1610612752,1610612757,210.0,0.412,0.273
2020-01-01,1610612749,1610612750,210.0,0.375,0.857
2020-01-01,1610612747,1610612756,224.0,0.394,0.7879999999999999
2019-12-31,1610612766,1610612738,201.0,0.733,0.371
2019-12-31,1610612754,1610612755,212.0,0.657,0.636
2019-12-31,1610612758,1610612746,192.0,0.6759999999999999,0.364
2019-12-31,1610612761,1610612739,214.0,0.313,0.667
2019-12-31,1610612745,1610612743,234.0,0.7190000000000001,0.667
2019-12-31,1610612759,1610612744,230.0,0.265,0.419
2019-12-31,1610612760,1610612742,207.0,0.6559999999999999,0.531
2019-12-30,1610612753,1610612737,194.0,0.182,0.43799999999999994
2019-12-30,1610612764,1610612748,228.0,0.75,0.29
2019-12-30,1610612741,1610612749,225.0,0.853,0.39399999999999996
2019-12-30,1610612750,1610612751,237.0,0.516,0.355
2019-12-30,1610612762,1610612765,185.0,0.364,0.625
2019-12-30,1610612757,1610612756,238.0,0.375,0.424
2019-12-29,1610612761,1610612760,195.0,0.516,0.688
2019-12-29,1610612763,1610612766,221.0,0.382,0.364
2019-12-29,1610612740,1610612745,239.0,0.688,0.303
2019-12-29,1610612743,1610612758,235.0,0.375,0.71
2019-12-29,1610612747,1610612742,203.0,0.677,0.7809999999999999
2019-12-28,1610612743,1610612763,229.0,0.375,0.7
2019-12-28,1610612738,1610612761,210.0,0.677,0.759
2019-12-28,1610612740,1610612754,218.0,0.6559999999999999,0.281
2019-12-28,1610612748,1610612755,233.0,0.6759999999999999,0.742
2019-12-28,1610612764,1610612752,207.0,0.25,0.3
2019-12-28,1610612741,1610612737,197.0,0.188,0.375
2019-12-28,1610612745,1610612751,206.0,0.5329999999999999,0.677
2019-12-28,1610612750,1610612739,182.0,0.29,0.3670000000000001
2019-12-28,1610612749,1610612753,211.0,0.452,0.848
2019-12-28,1610612759,1610612765,245.0,0.375,0.4
2019-12-28,1610612744,1610612742,262.0,0.667,0.273
2019-12-28,1610612758,1610612756,222.0,0.355,0.387
2019-12-28,1610612757,1610612747,248.0,0.774,0.43799999999999994
2019-12-28,1610612746,1610612762,227.0,0.613,0.6970000000000001
2019-12-27,1610612738,1610612739,246.0,0.3,0.75
2019-12-27,1610612766,1610612760,206.0,0.5,0.39399999999999996
2019-12-27,1610612753,1610612755,195.0,0.6970000000000001,0.433
2019-12-27,1610612737,1610612749,198.0,0.8440000000000001,0.19399999999999998
2019-12-27,1610612748,1610612754,225.0,0.677,0.733
2019-12-27,1610612744,1610612756,201.0,0.3670000000000001,0.25
2019-12-26,1610612765,1610612764,234.0,0.31,0.355
2019-12-26,1610612751,1610612752,176.0,0.226,0.552
2019-12-26,1610612760,1610612763,207.0,0.355,0.517
2019-12-26,1610612742,1610612759,200.0,0.414,0.655
2019-12-26,1610612758,1610612750,209.0,0.345,0.4
2019-12-26,1610612762,1610612757,236.0,0.452,0.6
2019-12-25,1610612761,1610612738,220.0,0.741,0.7
