date,team_a,team_b,score
2019-12-13,1610612741,1610612766,156.0
2019-12-13,1610612763,1610612749,241.0
2019-12-13,1610612762,1610612744,220.0
2019-12-13,1610612750,1610612746,241.0
2019-12-13,1610612758,1610612752,204.0
2019-12-12,1610612738,1610612755,224.0
2019-12-12,1610612759,1610612739,226.0
2019-12-12,1610612765,1610612742,233.0
2019-12-12,1610612743,1610612757,213.0
2019-12-11,1610612739,1610612745,226.0
2019-12-11,1610612754,1610612738,239.0
2019-12-11,1610612753,1610612747,183.0
2019-12-11,1610612761,1610612746,204.0
2019-12-11,1610612751,1610612766,221.0
2019-12-11,1610612741,1610612737,238.0
2019-12-11,1610612750,1610612762,243.0
2019-12-11,1610612756,1610612763,223.0
2019-12-11,1610612749,1610612740,239.0
2019-12-11,1610612758,1610612760,187.0
2019-12-11,1610612744,1610612752,246.0
2019-12-10,1610612766,1610612764,221.0
2019-12-10,1610612755,1610612743,189.0
2019-12-10,1610612748,1610612737,256.0
2019-12-10,1610612757,1610612752,202.0
2019-12-09,1610612754,1610612746,209.0
2019-12-09,1610612738,1610612739,198.0
2019-12-09,1610612741,1610612761,185.0
2019-12-09,1610612745,1610612758,237.0
2019-12-09,1610612749,1610612753,211.0
2019-12-09,1610612740,1610612765,208.0
2019-12-09,1610612756,1610612750,234.0
2019-12-09,1610612762,1610612760,194.0
2019-12-09,1610612744,1610612763,212.0
2019-12-08,1610612751,1610612743,207.0
2019-12-08,1610612766,1610612737,229.0
2019-12-08,1610612748,1610612741,215.0
2019-12-08,1610612755,1610612761,214.0
2019-12-08,1610612764,1610612746,254.0
2019-12-08,1610612742,1610612758,216.0
2019-12-08,1610612757,1610612760,204.0
2019-12-08,1610612747,1610612750,267.0
2019-12-07,1610612742,1610612740,214.0
2019-12-07,1610612752,1610612754,207.0
2019-12-07,1610612755,1610612739,235.0
2019-12-07,1610612745,1610612756,224.0
2019-12-07,1610612762,1610612763,238.0
2019-12-06,1610612766,1610612751,215.0
2019-12-06,1610612739,1610612753,180.0
2019-12-06,1610612765,1610612754,209.0
2019-12-06,1610612738,1610612743,203.0
2019-12-06,1610612748,1610612764,215.0
2019-12-06,1610612741,1610612744,198.0
2019-12-06,1610612760,1610612750,266.0
2019-12-06,1610612749,1610612746,210.0
2019-12-06,1610612759,1610612758,209.0
2019-12-06,1610612757,1610612747,249.0
2019-12-05,1610612764,1610612755,232.0
2019-12-05,1610612752,1610612743,221.0
2019-12-05,1610612761,1610612745,228.0
2019-12-05,1610612740,1610612756,271.0
2019-12-04,1610612766,1610612744,197.0
2019-12-04,1610612765,1610612749,230.0
2019-12-04,1610612753,1610612756,242.0
2019-12-04,1610612737,1610612751,248.0
2019-12-04,1610612738,1610612748,205.0
2019-12-04,1610612741,1610612763,205.0
2019-12-04,1610612760,1610612754,207.0
2019-12-04,1610612742,1610612750,235.0
2019-12-04,1610612762,1610612747,217.0
2019-12-04,1610612757,1610612758,243.0
2019-12-03,1610612739,1610612765,221.0
2019-12-03,1610612764,1610612753,247.0
2019-12-03,1610612761,1610612748,231.0
2019-12-03,1610612740,1610612742,215.0
2019-12-03,1610612759,1610612745,268.0
2019-12-03,1610612743,1610612747,201.0
2019-12-03,1610612746,1610612757,214.0
2014-06-15,1610612759,1610612748,191.0
2014-06-12,1610612748,1610612759,193.0
2014-06-10,1610612748,1610612759,203.0
2014-06-08,1610612759,1610612748,194.0
2014-06-05,1610612759,1610612748,205.0
2014-05-31,1610612760,1610612759,219.0
2014-05-30,1610612748,1610612754,209.0
2014-05-29,1610612759,1610612760,206.0
2014-05-28,1610612754,1610612748,183.0
2014-05-27,1610612760,1610612759,197.0
2014-05-26,1610612748,1610612754,192.0
2014-05-25,1610612760,1610612759,203.0
2014-05-24,1610612748,1610612754,186.0
2014-05-21,1610612759,1610612760,189.0
2014-05-20,1610612754,1610612748,170.0
2014-05-19,1610612759,1610612760,227.0
2014-05-18,1610612754,1610612748,203.0
2014-05-15,1610612764,1610612754,173.0
2014-05-15,1610612746,1610612760,202.0
2014-05-14,1610612748,1610612751,190.0
2014-05-14,1610612759,1610612757,186.0
2014-05-13,1610612754,1610612764,181.0
2014-05-13,1610612760,1610612746,209.0
2014-05-12,1610612751,1610612748,198.0
2014-05-12,1610612757,1610612759,195.0
2014-05-11,1610612746,1610612760,200.0
2014-05-11,1610612764,1610612754,187.0
2014-05-10,1610612751,1610612748,194.0
2014-05-10,1610612757,1610612759,221.0
2014-05-09,1610612764,1610612754,148.0
2014-05-09,1610612746,1610612760,230.0
2014-05-08,1610612748,1610612751,176.0
2014-05-08,1610612759,1610612757,211.0
2014-05-07,1610612754,1610612764,168.0
2014-05-07,1610612760,1610612746,213.0
2014-05-06,1610612748,1610612751,193.0
2014-05-06,1610612759,1610612757,208.0
2014-05-05,1610612754,1610612764,198.0
2014-05-05,1610612760,1610612746,227.0
2014-05-04,1610612761,1610612751,207.0
2014-05-04,1610612759,1610612742,215.0
2014-05-03,1610612754,1610612737,172.0
2014-05-03,1610612760,1610612763,229.0
2014-05-03,1610612746,1610612744,247.0
2014-05-02,1610612751,1610612761,180.0
2014-05-02,1610612742,1610612759,224.0
2014-05-02,1610612757,1610612745,197.0
2014-05-01,1610612737,1610612754,183.0
2014-05-01,1610612763,1610612760,188.0
2014-05-01,1610612744,1610612746,199.0
2014-04-30,1610612759,1610612742,212.0
2014-04-30,1610612761,1610612751,228.0
2014-04-30,1610612745,1610612757,206.0
2014-04-29,1610612741,1610612764,144.0
2014-04-29,1610612760,1610612763,199.0
2014-04-29,1610612746,1610612744,216.0
2014-04-28,1610612766,1610612748,207.0
2014-04-28,1610612754,1610612737,204.0
2014-04-28,1610612742,1610612759,182.0
2014-04-27,1610612764,1610612741,187.0
2014-04-27,1610612744,1610612746,215.0
